Country,Year,Renewable Energy Production (TWh),CO2 Emissions (kt),Population,GDP (USD billions)
India,2000,105.4,8500.2,12000000,500.5
India,2001,112.8,8400.5,12100000,520.3
India,2002,120.1,8350.1,12250000,540.8
India,2003,135.6,8200.4,12400000,560.1
India,2004,150.2,8100.9,12550000,590.4
USA,2000,80.5,5000.1,8000000,300.2
USA,2001,85.2,4950.6,8100000,315.4
USA,2002,90.8,4900.2,8200000,330.1
USA,2003,98.4,4800.8,8350000,350.7
USA,2004,105.9,4750.3,8500000,375.2
Russia,2000,200.1,9500.4,25000000,1200.5
Russia,2001,215.5,9400.1,25500000,1250.3
Russia,2002,230.8,9250.7,26000000,1310.8
Russia,2003,250.4,9100.2,26600000,1380.1
Russia,2004,275.9,8950.5,27200000,1450.6
China,2000,50.2,3000.8,4000000,150.1
China,2001,52.8,2950.4,4100000,160.5
China,2002,56.4,2900.1,4200000,170.2
China,2003,60.1,2850.7,4350000,185.4
China,2004,65.7,2800.3,4500000,200.8
Japan,2000,150.5,7000.3,15000000,800.4
Japan,2001,160.2,6900.8,15200000,840.1
Japan,2002,175.8,6750.4,15500000,890.5
Japan,2003,190.1,6600.9,15800000,950.2
Japan,2004,210.6,6450.2,16200000,1020.7
